Name,Time,Cumulative PnL
V2Test9,2021-Nov-05 16:08:53.086752,-13.746958
V2Test9,2021-Nov-05 16:09:54.749796,-13.746958
V2Test9,2021-Nov-05 16:10:55.848496,-13.746958
V2Test9,2021-Nov-05 16:11:58.593096,-13.746958
V2Test9,2021-Nov-05 16:12:59.233768,-13.746958
V2Test9,2021-Nov-05 16:14:00.825667,-13.746958
V2Test9,2021-Nov-05 16:15:06.009655,-13.746958
V2Test9,2021-Nov-05 16:16:08.346476,-13.746958
V2Test9,2021-Nov-05 16:17:09.649520,-13.746958
V2Test9,2021-Nov-05 16:18:10.498656,-13.746958
V2Test9,2021-Nov-05 16:19:11.198447,-13.746958
V2Test9,2021-Nov-05 16:20:12.462203,-13.746958
V2Test9,2021-Nov-05 16:21:15.036666,-13.746958
V2Test9,2021-Nov-05 16:22:16.209977,-13.746958
V2Test9,2021-Nov-05 16:23:17.890500,-13.746958
V2Test9,2021-Nov-05 16:24:19.087171,-13.746958
V2Test9,2021-Nov-05 16:25:19.649336,-13.746958
V2Test9,2021-Nov-05 16:26:20.066597,-13.746958
V2Test9,2021-Nov-05 16:27:21.119092,-13.746958
V2Test9,2021-Nov-05 16:28:21.375066,-13.746958
V2Test9,2021-Nov-05 16:29:21.968534,-13.746958
V2Test9,2021-Nov-05 16:30:24.421145,-31.178158
V2Test9,2021-Nov-05 16:31:25.074452,-16.184321
V2Test9,2021-Nov-05 16:32:25.365871,-16.184321
V2Test9,2021-Nov-05 16:33:25.514460,-16.184321
V2Test9,2021-Nov-05 16:34:25.911209,-16.184321
V2Test9,2021-Nov-05 16:35:26.380896,-16.184321
V2Test9,2021-Nov-05 16:36:27.267011,-16.184321
V2Test9,2021-Nov-05 16:37:30.142317,-16.184321
V2Test9,2021-Nov-05 16:38:33.480912,-16.184252
V2Test9,2021-Nov-05 16:39:34.429288,-16.184252
V2Test9,2021-Nov-05 16:40:35.634473,-16.184252
V2Test9,2021-Nov-05 16:41:36.832253,-16.184252
V2Test9,2021-Nov-05 16:42:37.934621,-16.184252
V2Test9,2021-Nov-05 16:43:38.426921,-16.184252
V2Test9,2021-Nov-05 16:44:39.406731,-16.184252
V2Test9,2021-Nov-05 16:45:40.678571,-16.184252
V2Test9,2021-Nov-05 16:46:42.037899,-16.184252
V2Test9,2021-Nov-05 16:47:42.228154,-16.184252
V2Test9,2021-Nov-05 16:48:42.327609,-16.184252
