Name,Time,Cumulative PnL
StopLossHunter_Initial_4,2021-Nov-05 15:45:22.461265,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:46:22.763547,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:47:23.490178,-51.786825
StopLossHunter_Initial_4,2021-Nov-05 15:48:23.743141,-51.748025
StopLossHunter_Initial_4,2021-Nov-05 15:49:24.659283,-51.907896
StopLossHunter_Initial_4,2021-Nov-05 15:50:25.729370,-70.576110
StopLossHunter_Initial_4,2021-Nov-05 15:51:25.907913,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:52:26.097937,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:53:26.285804,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:54:27.234458,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:55:27.761666,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:56:28.067460,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:57:28.706774,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:58:29.440225,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 15:59:29.773670,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:00:30.250636,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:01:30.675791,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:02:31.345223,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:03:31.458774,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:04:32.532790,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:05:32.731817,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:06:33.233817,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:07:33.940187,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:08:34.373542,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:09:34.845800,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:10:35.332651,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:11:36.329975,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:12:37.512071,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:13:37.799036,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:14:38.997574,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:15:39.680428,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:16:40.915677,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:17:41.115621,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:18:41.824313,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:19:42.118106,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:20:42.454326,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:21:43.194383,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:22:44.123482,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:23:44.993560,-75.105969
StopLossHunter_Initial_4,2021-Nov-05 16:24:45.380544,-75.175904
StopLossHunter_Initial_4,2021-Nov-05 16:25:46.313547,-96.883868
StopLossHunter_Initial_4,2021-Nov-05 16:26:47.123568,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:27:47.983909,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:28:48.678836,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:29:49.570135,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:30:49.841200,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:31:50.082254,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:32:50.358661,-105.044927
StopLossHunter_Initial_4,2021-Nov-05 16:33:51.113558,-107.474861
StopLossHunter_Initial_4,2021-Nov-05 16:34:51.630693,-107.474861
StopLossHunter_Initial_4,2021-Nov-05 16:35:53.603557,-107.474861
StopLossHunter_Initial_4,2021-Nov-05 16:36:53.967345,-107.474861
StopLossHunter_Initial_4,2021-Nov-05 16:37:54.266608,-109.983593
StopLossHunter_Initial_4,2021-Nov-05 16:38:54.971975,-107.613453
StopLossHunter_Initial_4,2021-Nov-05 16:39:55.708464,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:40:56.431072,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:41:56.801798,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:42:57.617539,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:43:57.993295,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:44:58.577735,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:45:59.291261,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:46:59.642112,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:47:59.845295,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:49:00.078513,-107.674583
StopLossHunter_Initial_4,2021-Nov-05 16:50:00.203558,-113.044439
StopLossHunter_Initial_4,2021-Nov-05 16:51:00.471674,-113.274294
StopLossHunter_Initial_4,2021-Nov-05 16:52:01.223557,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:53:01.583578,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:54:02.032001,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:55:02.849882,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:56:03.931972,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:57:04.538811,-113.344223
StopLossHunter_Initial_4,2021-Nov-05 16:58:05.102312,-113.532877
StopLossHunter_Initial_4,2021-Nov-05 16:59:05.849096,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:00:06.246327,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:01:06.498992,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:02:07.386829,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:03:07.969785,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:04:08.401110,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:05:08.835676,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:06:09.935536,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:07:10.943555,-113.664005
StopLossHunter_Initial_4,2021-Nov-05 17:08:11.873543,-113.843790
StopLossHunter_Initial_4,2021-Nov-05 17:09:13.809571,-113.843790
StopLossHunter_Initial_4,2021-Nov-05 17:10:14.292980,-113.863645
StopLossHunter_Initial_4,2021-Nov-05 17:11:14.405251,-120.693067
StopLossHunter_Initial_4,2021-Nov-05 17:12:14.569957,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:13:14.711575,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:14:14.943383,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:15:15.083547,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:16:15.230999,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:17:15.446769,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:18:16.278931,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:19:16.579171,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:20:17.517915,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:21:17.798341,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:22:18.001861,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:23:18.209963,-121.862990
StopLossHunter_Initial_4,2021-Nov-05 17:24:18.563408,-122.362822
StopLossHunter_Initial_4,2021-Nov-05 17:25:18.729989,-123.632502
StopLossHunter_Initial_4,2021-Nov-05 17:26:18.803748,-131.030810
StopLossHunter_Initial_4,2021-Nov-05 17:27:19.103547,-132.931828
StopLossHunter_Initial_4,2021-Nov-05 17:28:19.176228,-134.970441
StopLossHunter_Initial_4,2021-Nov-05 17:29:19.405341,-147.170933
StopLossHunter_Initial_4,2021-Nov-05 17:30:19.652782,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:31:19.997729,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:32:20.226349,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:33:20.294322,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:34:20.598168,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:35:21.053481,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:36:21.245051,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:37:22.133561,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:38:22.710477,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:39:23.040536,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:40:23.477218,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:41:23.830412,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:42:24.540324,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:43:25.193544,-158.539945
StopLossHunter_Initial_4,2021-Nov-05 17:44:25.851175,-158.539945
