StrategyName,EntryTime,LastModTime,State,LastUpdateType,Symbol,Side,Type,TIF,Price,Quantity,DisplayQuantity,FilledQty,Remains,AvgFillPrice,ExecutionCost,Account,Trader,Broker,MarketCenter,OrderId,Tag,Reason,Closure
StopLossHunter_Initial_4,2021-Nov-05 14:59:59.310011,2021-Nov-05 14:59:59.310011,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,337.010000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145183,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:29.925957,2021-Nov-05 15:00:29.925957,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.940000,0.008747,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145184,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:36.891467,2021-Nov-05 15:00:36.891467,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.990000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145185,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:39.080472,2021-Nov-05 15:00:39.080472,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.930000,0.008747,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145186,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:45.295051,2021-Nov-05 15:00:45.295051,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.890000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145187,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:46.592774,2021-Nov-05 15:00:46.592774,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.860000,0.008746,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145188,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:55.198906,2021-Nov-05 15:00:55.198906,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.950000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145189,,,
StopLossHunter_Initial_4,2021-Nov-05 15:00:58.698492,2021-Nov-05 15:00:58.698492,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.820000,0.008745,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145190,,,
StopLossHunter_Initial_4,2021-Nov-05 15:01:02.588113,2021-Nov-05 15:01:02.588113,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.920000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145191,,,
StopLossHunter_Initial_4,2021-Nov-05 15:01:04.430017,2021-Nov-05 15:01:04.430017,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.880000,0.008746,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145192,,,
StopLossHunter_Initial_4,2021-Nov-05 15:01:14.866633,2021-Nov-05 15:01:14.866633,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.930000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145193,,,
StopLossHunter_Initial_4,2021-Nov-05 15:01:56.709227,2021-Nov-05 15:01:56.709227,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.870000,0.008746,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145194,,,
StopLossHunter_Initial_4,2021-Nov-05 15:02:17.852910,2021-Nov-05 15:02:17.852910,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.920000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145195,,,
StopLossHunter_Initial_4,2021-Nov-05 15:02:55.558870,2021-Nov-05 15:02:55.558870,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.820000,0.008745,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145196,,,
StopLossHunter_Initial_4,2021-Nov-05 15:03:14.937131,2021-Nov-05 15:03:14.937131,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.770000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145197,,,
StopLossHunter_Initial_4,2021-Nov-05 15:03:16.094568,2021-Nov-05 15:03:16.094568,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.740000,0.008743,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145198,,,
StopLossHunter_Initial_4,2021-Nov-05 15:03:24.812372,2021-Nov-05 15:03:24.812372,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.700000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145199,,,
StopLossHunter_Initial_4,2021-Nov-05 15:03:27.033969,2021-Nov-05 15:03:27.033969,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.700000,0.008742,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145200,,,
StopLossHunter_Initial_4,2021-Nov-05 15:03:58.723779,2021-Nov-05 15:03:58.723779,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.680000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145201,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:07.189148,2021-Nov-05 15:04:07.189148,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.590000,0.008740,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145202,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:09.057649,2021-Nov-05 15:04:09.057649,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.620000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145203,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:10.217879,2021-Nov-05 15:04:10.217879,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.610000,0.008740,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145204,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:19.264321,2021-Nov-05 15:04:19.264321,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.650000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145205,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:22.600783,2021-Nov-05 15:04:22.600783,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.610000,0.008740,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145206,,,
StopLossHunter_Initial_4,2021-Nov-05 15:04:26.039951,2021-Nov-05 15:04:26.039951,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.650000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145207,,,
StopLossHunter_Initial_4,2021-Nov-05 15:26:35.568686,2021-Nov-05 15:26:35.568686,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.600000,0.008740,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145208,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929927,2021-Nov-05 15:27:11.929927,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.540000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145209,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929988,2021-Nov-05 15:27:11.929988,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.510000,0.008738,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145210,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:11.929988,2021-Nov-05 15:27:11.929988,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.540000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145211,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:13.331760,2021-Nov-05 15:27:13.331760,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.530000,0.008738,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145212,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:14.572756,2021-Nov-05 15:27:14.572756,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.650000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145213,,,
StopLossHunter_Initial_4,2021-Nov-05 15:27:19.617977,2021-Nov-05 15:27:19.617977,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.520000,0.008738,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145214,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:15.178565,2021-Nov-05 15:28:15.178565,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.510000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145215,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:15.178646,2021-Nov-05 15:28:15.178646,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,333.000000,0.008659,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145216,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:19.793331,2021-Nov-05 15:28:19.793331,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.410000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145217,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:19.793363,2021-Nov-05 15:28:19.793363,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,333.000000,0.008659,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145218,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:24.242373,2021-Nov-05 15:28:24.242373,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.510000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145219,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:24.242373,2021-Nov-05 15:28:24.242373,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,333.000000,0.008659,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145220,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:28.379744,2021-Nov-05 15:28:28.379744,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.420000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145221,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:28.379755,2021-Nov-05 15:28:28.379755,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.380000,0.008735,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145222,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:32.428524,2021-Nov-05 15:28:32.428524,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.420000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145223,,,
StopLossHunter_Initial_4,2021-Nov-05 15:28:36.291024,2021-Nov-05 15:28:36.291024,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.310000,0.008733,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145224,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:33.786988,2021-Nov-05 15:29:33.786988,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.230000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145225,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:33.787004,2021-Nov-05 15:29:33.787004,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,336.190000,0.008731,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145226,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:38.865094,2021-Nov-05 15:29:38.865094,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.230000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145227,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:42.287951,2021-Nov-05 15:29:42.287951,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,333.000000,0.008659,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145228,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:42.349005,2021-Nov-05 15:29:42.349005,FILLED,FILL,MSFT,BUY,MARKET,DAY,0.000000,1,0,1,0,336.220000,0.001200,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145229,,,
StopLossHunter_Initial_4,2021-Nov-05 15:29:43.265196,2021-Nov-05 15:29:43.265196,FILLED,FILL,MSFT,SELL,MARKET,DAY,0.000000,-1,0,-1,0,333.000000,0.008659,SIM-1001-101,dlariviere,FILL_SIMULATOR,IEX,367700740145230,,,
