StrategyName,TradeTime,Symbol,Quantity,Price,ExecutionCost,LiquidityAction,LiquidityCode,RawLiquidity,Account,Trader,MarketCenter,OrderID,ExecID,TransactionType
StopLossHunter_Initial_4,2021-Nov-05 15:28:19.793363,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145218,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:24.242373,MSFT,1,336.510000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145219,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:24.242373,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145220,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:28.379744,MSFT,1,336.420000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145221,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:28.379755,MSFT,-1,336.380000,0.008735,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145222,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:32.428524,MSFT,1,336.420000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145223,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:28:36.291024,MSFT,-1,336.310000,0.008733,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145224,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:33.786988,MSFT,1,336.230000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145225,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:33.787004,MSFT,-1,336.190000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145226,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:38.865094,MSFT,1,336.230000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145227,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:42.287951,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145228,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:42.349005,MSFT,1,336.220000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145229,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:43.265196,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145230,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:48.337121,MSFT,1,336.200000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145231,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:48.337263,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145232,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:48.337739,MSFT,1,336.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145233,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:48.337746,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145234,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:29:50.745157,MSFT,1,336.230000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145235,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:30:02.088369,MSFT,-1,336.190000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145236,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:30:04.276111,MSFT,1,336.250000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145237,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:30:09.224802,MSFT,-1,336.190000,0.008731,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145238,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:30:15.296302,MSFT,1,336.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145239,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:48:09.970254,MSFT,1,337.300000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145240,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:48:44.807461,MSFT,-1,337.260000,0.008755,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145241,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:48:44.807473,MSFT,1,337.350000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145242,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:00.435177,MSFT,-1,337.410000,0.008758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145243,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:00.573127,MSFT,1,337.470000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145244,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:02.677420,MSFT,-1,337.390000,0.008758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145245,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:02.677427,MSFT,1,337.420000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145246,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:26.098109,MSFT,-1,337.480000,0.008760,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145247,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:26.098127,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145248,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:28.354096,MSFT,-1,337.390000,0.008758,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145249,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:28.630756,MSFT,1,337.540000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145250,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:30.997786,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145251,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:31.964553,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145252,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:32.190030,MSFT,-1,337.530000,0.008761,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145253,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:32.400055,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145254,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:33.100626,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145255,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:44.692654,MSFT,1,338.750000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145256,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:45.901075,MSFT,-1,337.460000,0.008759,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145257,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:48.476748,MSFT,1,337.530000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145258,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:49:51.810341,MSFT,-1,333.000000,0.008659,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145259,,FILL
StopLossHunter_Initial_4,2021-Nov-05 15:51:10.187979,MSFT,1,337.520000,0.001200,REMOVED,0,,SIM-1001-101,dlariviere,IEX,367700740145260,,FILL
